wvlng	cf 1	basel	cf 2	cf 3
575,00	1,417	-0,000	0,101	1,290
574,00	1,397	-0,000	0,100	1,286
573,00	1,376	-0,000	0,099	1,281
572,00	1,354	-0,000	0,098	1,276
571,00	1,329	-0,000	0,097	1,270
570,00	1,304	-0,000	0,096	1,265
569,00	1,278	-0,000	0,094	1,258
568,00	1,251	-0,000	0,093	1,252
567,00	1,224	-0,000	0,092	1,245
566,00	1,197	-0,000	0,090	1,238
565,00	1,169	-0,000	0,089	1,231
564,00	1,141	-0,000	0,088	1,225
563,00	1,113	-0,000	0,086	1,218
562,00	1,086	-0,000	0,085	1,212
561,00	1,061	-0,000	0,084	1,207
560,00	1,039	-0,000	0,083	1,202
559,00	1,018	-0,000	0,082	1,199
558,00	1,001	-0,000	0,081	1,196
557,00	0,986	-0,000	0,080	1,194
556,00	0,972	-0,000	0,080	1,193
555,00	0,961	-0,000	0,079	1,192
554,00	0,952	-0,000	0,079	1,193
553,00	0,944	-0,000	0,079	1,194
552,00	0,939	0,000	0,079	1,196
551,00	0,935	-0,000	0,078	1,198
550,00	0,932	-0,000	0,079	1,201
549,00	0,930	-0,000	0,079	1,204
548,00	0,929	-0,000	0,079	1,207
547,00	0,929	0,000	0,079	1,211
546,00	0,930	-0,000	0,079	1,215
545,00	0,930	-0,000	0,080	1,219
544,00	0,931	-0,000	0,080	1,223
543,00	0,932	-0,000	0,080	1,227
542,00	0,934	-0,000	0,081	1,231
541,00	0,934	-0,000	0,081	1,236
540,00	0,934	-0,000	0,081	1,240
539,00	0,934	0,000	0,081	1,244
538,00	0,933	-0,000	0,081	1,248
537,00	0,931	-0,000	0,082	1,251
536,00	0,927	-0,000	0,082	1,253
535,00	0,923	-0,000	0,082	1,256
534,00	0,919	0,000	0,082	1,259
533,00	0,913	-0,000	0,082	1,261
532,00	0,907	-0,000	0,082	1,263
531,00	0,902	-0,000	0,082	1,265
530,00	0,895	0,000	0,082	1,268
529,00	0,888	-0,000	0,082	1,269
528,00	0,882	0,000	0,082	1,271
527,00	0,876	-0,000	0,082	1,274
526,00	0,870	-0,000	0,082	1,275
525,00	0,865	-0,000	0,082	1,278
524,00	0,860	-0,000	0,082	1,280
523,00	0,856	-0,000	0,082	1,283
522,00	0,854	-0,000	0,082	1,286
521,00	0,853	-0,000	0,082	1,289
520,00	0,853	0,000	0,082	1,293
519,00	0,856	-0,000	0,082	1,297
518,00	0,861	0,000	0,082	1,303
517,00	0,868	0,000	0,083	1,309
516,00	0,879	-0,000	0,083	1,315
515,00	0,894	0,000	0,084	1,324
514,00	0,911	0,000	0,085	1,332
513,00	0,932	0,000	0,086	1,343
512,00	0,956	0,000	0,087	1,354
511,00	0,986	0,000	0,089	1,366
510,00	1,017	-0,000	0,091	1,379
509,00	1,056	0,000	0,092	1,394
508,00	1,099	0,000	0,095	1,411
507,00	1,146	0,000	0,097	1,429
506,00	1,198	0,000	0,099	1,449
505,00	1,257	0,000	0,102	1,471
504,00	1,318	0,000	0,105	1,493
503,00	1,388	0,000	0,109	1,519
502,00	1,466	0,000	0,113	1,547
501,00	1,550	0,000	0,117	1,578
500,00	1,641	-0,000	0,122	1,612
499,00	1,742	-0,000	0,127	1,650
498,00	1,846	0,000	0,133	1,690
497,00	1,954	0,000	0,139	1,734
496,00	2,068	0,000	0,147	1,782
495,00	2,187	0,000	0,154	1,834
494,00	2,306	0,000	0,163	1,891
493,00	2,423	0,000	0,172	1,953
492,00	2,534	-0,000	0,182	2,019
491,00	2,637	-0,000	0,193	2,091
490,00	2,728	0,000	0,206	2,168
489,00	2,801	0,000	0,218	2,246
488,00	2,858	0,000	0,232	2,328
487,00	2,903	0,000	0,246	2,407
486,00	2,935	0,000	0,260	2,490
485,00	2,960	0,000	0,276	2,573
484,00	2,974	0,000	0,293	2,654
483,00	2,981	-0,000	0,310	2,731
482,00	2,986	0,000	0,328	2,804
481,00	2,995	0,000	0,346	2,869
480,00	2,999	-0,000	0,364	2,923
479,00	3,000	0,000	0,382	2,972
478,00	3,001	0,000	0,400	3,007
477,00	2,998	0,000	0,417	3,037
476,00	2,999	0,000	0,435	3,057
475,00	3,002	-0,000	0,451	3,076
474,00	3,000	0,000	0,466	3,088
473,00	2,999	0,000	0,481	3,098
472,00	2,994	0,000	0,495	3,104
471,00	2,997	-0,000	0,506	3,108
470,00	2,994	0,000	0,516	3,110
469,00	2,995	0,000	0,524	3,112
468,00	2,991	0,000	0,530	3,113
467,00	2,995	0,000	0,534	3,113
466,00	2,995	0,000	0,537	3,112
465,00	2,992	0,000	0,538	3,111
464,00	2,994	0,000	0,539	3,111
463,00	2,994	0,000	0,539	3,109
462,00	2,991	0,000	0,539	3,106
461,00	2,990	0,000	0,538	3,107
460,00	2,988	0,000	0,537	3,105
459,00	2,986	0,000	0,537	3,104
458,00	2,988	0,000	0,537	3,101
457,00	2,985	0,000	0,537	3,103
456,00	2,984	0,000	0,538	3,101
455,00	2,986	0,000	0,539	3,101
454,00	2,980	0,000	0,541	3,101
453,00	2,983	0,000	0,545	3,102
452,00	2,984	0,000	0,549	3,102
451,00	2,979	0,000	0,556	3,101
450,00	2,978	0,000	0,563	3,103
449,00	2,976	0,000	0,573	3,104
448,00	2,974	0,000	0,585	3,103
447,00	2,974	0,000	0,600	3,103
446,00	2,972	0,000	0,617	3,105
445,00	2,977	0,000	0,638	3,105
444,00	2,973	0,000	0,661	3,105
443,00	2,973	0,000	0,687	3,105
442,00	2,970	0,000	0,713	3,100
441,00	2,972	0,000	0,741	3,101
440,00	2,968	0,000	0,768	3,100
439,00	2,966	0,000	0,795	3,100
438,00	2,963	0,000	0,818	3,097
437,00	2,965	0,000	0,837	3,096
436,00	2,964	0,000	0,853	3,098
435,00	2,961	0,000	0,863	3,094
434,00	2,959	0,000	0,868	3,095
433,00	2,957	0,000	0,868	3,093
432,00	2,958	0,000	0,865	3,092
431,00	2,954	0,000	0,857	3,090
430,00	2,956	0,000	0,847	3,092
429,00	2,951	0,000	0,834	3,089
428,00	2,953	0,000	0,821	3,087
427,00	2,952	0,000	0,807	3,088
426,00	2,955	0,000	0,793	3,088
